Student_Name,Gender,Stream,Branch,Semester,10th_%,10th_Board,10th_Passout_Year,12th_%,12th_Education,12th_Passout_Year,University_Admission_Year,CGPA,Attendance_%,Backlog,Top_Certification,Internship_Status,Projects_Count,Placement_Status
s11,Male,M.Tech,Thermal Engineering,4,54.56,ICSE,2019,67.42,CBSE - Science,2021.0,2025,7.18,78.0,Yes,MATLAB & Simulink,Completed - JSW Steel,1,Not Placed
s12,Male,B.Tech,CSE,4,72.54,ICSE,2022,64.53,ISC - Science,2024.0,2025,6.09,95.0,No,No Certification,Completed - Google,3,Not Placed
s13,Female,B.Tech,IT,1,81.89,ICSE,2023,87.18,CBSE - Science,2025.0,2026,8.86,89.0,No,No Certification,Not Yet,3,Not Placed
s14,Female,B.Tech,ECE,8,93.15,CBSE,2021,88.34,ISC - Science,2023.0,2023,9.24,80.0,No,AWS,Completed - IBM,3,Placed - Adobe
s15,Male,B.Tech,CSE,5,73.47,State Board,2022,82.2,ISC - Science,2024.0,2024,6.78,71.0,Yes,No Certification,Completed - IBM,0,Not Placed
s16,Female,B.Tech,ECE,1,76.25,CBSE,2024,76.42,CHSE Odisha - Science,2026.0,2026,5.15,75.0,Yes (Cleared),No Certification,Not Yet,0,Not Placed
s17,Female,M.Tech,VLSI,4,87.57,CBSE,2019,79.67,CBSE - Science,2021.0,2025,8.59,87.0,Yes,Cisco CCNA,Ongoing - Google,3,Not Placed
s18,Female,MCA,Artificial Intelligence,2,96.54,CBSE,2021,67.91,CBSE - Science,2023.0,2026,9.15,86.0,No,Python,Not Yet,3,Not Placed
s19,Male,B.Tech,Mechanical,8,86.16,CBSE,2021,93.74,ISC - Science,2023.0,2023,8.63,88.0,No,AutoCAD,Completed - Tata Motors,3,Placed - TCS
s20,Female,M.Tech,Thermal Engineering,4,81.11,ICSE,2019,72.36,CBSE - Science,2021.0,2025,7.69,73.0,Yes (Cleared),No Certification,Not Yet,1,Not Placed
s21,Female,BCA,Computer Applications,2,97.34,State Board,2024,82.36,State Board - Science,2026.0,2026,7.22,85.0,Yes,Python,Not Yet,2,Not Placed
s22,Male,BCA,Information Technology,6,71.3,CBSE,2022,88.66,CHSE Odisha - Arts,2024.0,2024,6.95,98.0,Yes,ML,Completed - Google,1,Not Placed
s23,Male,BCA,Information Technology,6,94.04,ICSE,2022,88.57,State Board - Commerce,2024.0,2024,8.46,90.0,Yes,No Certification,Completed - Intel,2,Not Placed
s24,Male,M.Tech,Embedded Systems,4,78.11,CBSE,2019,76.38,CBSE - Science,2021.0,2025,6.87,70.0,Yes,No Certification,Ongoing - Cisco,1,Not Placed
s25,Female,BCA,Computer Applications,1,59.66,ICSE,2024,70.3,CHSE Odisha - Science,2026.0,2026,7.26,78.0,No,NPTEL DBMS,Not Yet,1,Not Placed
s26,Female,M.Tech,Power Systems,4,73.3,ICSE,2018,79.19,ISC - Science,2020.0,2025,7.48,74.0,Yes (Cleared),ETABS,Ongoing - Cognizant,3,Placed - Infosys
s27,Male,B.Tech,EEE,3,78.64,State Board,2023,64.38,State Board - Science,2025.0,2025,6.35,80.0,No,ETABS,Completed - Tata Motors,1,Not Placed
s28,Female,BCA,Computer Applications,6,92.85,CBSE,2022,89.18,ISC - Science,2024.0,2024,9.79,91.5,Yes,Python,Ongoing - Intel,3,Not Placed
s29,Female,B.Tech,IT,6,75.06,CBSE,2022,72.42,ISC - Science,2024.0,2024,8.8,84.0,No,SQL,Ongoing - Microsoft,3,Not Placed
s30,Female,M.Tech,Embedded Systems,1,86.28,State Board,2020,89.77,CHSE Odisha - Science,2022.0,2026,9.13,93.0,No,Java,Not Yet,1,Not Placed
s31,Female,B.Tech,Mechanical,1,59.05,ICSE,2024,69.36,CBSE - Science,2026.0,2026,6.83,78.0,No,No Certification,Not Yet,1,Not Placed
s32,Male,B.Tech,Mechanical,1,53.25,ICSE,2024,73.17,ISC - Science,2026.0,2026,7.36,88.0,No,ETABS,Not Yet,0,Not Placed
s33,Female,B.Tech,Civil,8,85.34,ICSE,2021,68.87,State Board - Science,2023.0,2023,7.37,98.0,Yes,ETABS,Completed - ISRO,1,Not Placed
s34,Female,B.Sc,Mathematics,6,71.76,State Board,2021,74.91,CHSE Odisha - Arts,2023.0,2024,7.3,79.0,Yes,Python,Not Yet,3,Not Placed
s35,Male,BCA,Computer Applications,6,71.67,State Board,2021,66.51,State Board - Science,2023.0,2024,7.41,83.0,Yes,Java,Completed - ISRO,4,Placed - Accenture
s36,Female,M.Tech,Environmental Engineering,4,75.77,CBSE,2018,60.09,CHSE Odisha - Science,2020.0,2025,8.14,80.0,Yes,MATLAB & Simulink,Ongoing - DRDO,4,Not Placed
s37,Male,B.Sc,Chemistry,4,89.05,ICSE,2023,85.26,ISC - Commerce,2025.0,2025,8.08,83.0,No,NPTEL DBMS,Completed - IBM,2,Not Placed
s38,Male,B.Sc,Chemistry,6,81.97,ICSE,2022,69.84,State Board - Science,2024.0,2024,8.64,95.0,Yes,NPTEL DBMS,Not Yet,1,Not Placed
s39,Male,B.Tech,IT,1,78.8,ICSE,2023,68.57,ISC - Science,2025.0,2026,7.1,77.0,No,AWS,Not Yet,2,Not Placed
s40,Female,MCA,Artificial Intelligence,2,68.15,CBSE,2021,70.56,State Board - Science,2023.0,2026,7.09,73.0,Yes,No Certification,Not Yet,0,Not Placed
s41,Male,B.Sc,Chemistry,6,82.69,ICSE,2022,76.78,State Board - Science,2024.0,2024,8.72,95.0,Yes,SQL,Completed - DRDO,2,Not Placed
s42,Female,B.Tech,Civil,8,65.82,ICSE,2021,75.0,ISC - Science,2023.0,2023,9.08,91.0,No,ETABS,Completed - IBM,3,Placed - Tata Motors
s43,Female,B.Sc,Physics,1,92.24,State Board,2024,82.31,CBSE - Science,2026.0,2026,8.39,76.0,No,NPTEL DBMS,Not Yet,1,Not Placed
s44,Male,B.Tech,ECE,8,89.57,ICSE,2020,83.07,CHSE Odisha - Science,2022.0,2023,7.31,67.0,Yes (Cleared),No Certification,Completed - TCS,3,Placed - Wipro
s45,Male,BCA,Multimedia,6,76.83,CBSE,2022,72.69,ISC - Arts,2024.0,2024,6.31,51.0,Yes,No Certification,Not Yet,0,Not Placed
s46,Female,B.Tech,Civil,4,86.08,State Board,2022,92.51,CHSE Odisha - Science,2024.0,2025,9.22,87.0,No,Revit,Completed - Infosys,4,Not Placed
s47,Female,B.Tech,Civil,8,84.71,State Board,2021,89.91,CHSE Odisha - Science,2023.0,2023,8.82,87.0,No,SolidWorks,Completed - Mahindra & Mahindra,3,Placed - Capgemini
s48,Male,B.Tech,IT,3,94.5,State Board,2023,62.0,State Board - Science,2025.0,2025,8.09,87.0,No,AWS,Completed - Infosys,3,Not Placed
s49,Female,B.Tech,EEE,8,90.42,State Board,2021,88.98,State Board - Science,2023.0,2023,8.07,81.0,No,No Certification,Completed - Siemens,2,Placed - Infosys
s50,Male,B.Tech,CSE,6,61.93,CBSE,2022,91.7,CBSE - Science,2024.0,2024,7.25,95.0,Yes,Cisco CCNA,Completed - HCL,1,Not Placed
s51,Female,B.Tech,ECE,8,97.44,CBSE,2020,87.44,ISC - Science,2022.0,2023,8.66,85.0,No,No Certification,Not Yet,4,Not Placed
s52,Male,B.Tech,Mechanical,8,73.31,ICSE,2020,64.91,CHSE Odisha - Science,2022.0,2023,6.06,71.0,Yes (Cleared),No Certification,Completed - BHEL,2,Placed - Infosys
s53,Female,M.Tech,Embedded Systems,2,81.71,CBSE,2019,89.1,CHSE Odisha - Science,2021.0,2026,8.89,88.0,No,Azure,Not Yet,4,Not Placed
s54,Female,B.Tech,EEE,5,91.2,ICSE,2021,82.16,ISC - Science,2023.0,2024,6.99,54.0,Yes,No Certification,Not Yet,2,Not Placed
s55,Male,B.Tech,ECE,2,74.26,ICSE,2024,60.52,ISC - Science,2026.0,2026,6.06,64.0,Yes (Cleared),No Certification,Not Yet,1,Not Placed
s56,Male,M.Tech,Structural Engineering,4,67.15,State Board,2018,60.4,State Board - Science,2020.0,2025,7.99,93.0,Yes,No Certification,Completed - Infosys,4,Not Placed
s57,Female,BCA,Computer Applications,4,61.44,ICSE,2023,93.31,ISC - Arts,2025.0,2025,8.64,95.0,No,SQL,Completed - Amazon,2,Not Placed
s58,Female,B.Tech,Mechanical,4,88.71,ICSE,2023,82.96,ISC - Science,2025.0,2025,6.95,93.0,Yes (Cleared),STAAD Pro,Completed - Wipro,1,Not Placed
s59,Male,MCA,Artificial Intelligence,4,91.41,ICSE,2020,68.75,CHSE Odisha - Science,2022.0,2025,8.19,69.0,Yes,Java,Not Yet,1,Not Placed
s60,Female,B.Tech,EEE,8,86.04,CBSE,2021,63.55,ISC - Science,2023.0,2023,8.01,96.0,No,AutoCAD,Completed - Siemens,2,Placed - Deloitte
s61,Male,B.Sc,Physics,2,94.51,CBSE,2024,65.0,CBSE - Science,2026.0,2026,8.75,86.0,No,Python,Not Yet,2,Not Placed
s62,Female,B.Tech,ECE,2,78.78,CBSE,2024,68.18,CBSE - Science,2026.0,2026,6.49,65.0,Yes,No Certification,Not Yet,0,Not Placed
s63,Male,MCA,Computer Applications,4,89.47,ICSE,2019,87.17,CHSE Odisha - Science,2021.0,2025,9.21,79.0,Yes,SQL,Completed - Amazon,4,Placed - TCS
s64,Female,MCA,Artificial Intelligence,4,86.64,State Board,2020,72.13,CBSE - Science,2022.0,2025,5.98,77.0,Yes (Cleared),No Certification,Completed - Oracle,1,Placed - Deloitte
s65,Male,M.Tech,Robotics,4,86.24,ICSE,2019,65.34,ISC - Science,2021.0,2025,7.69,75.0,Yes,No Certification,Completed - DRDO,2,Not Placed
s66,Female,B.Sc,Mathematics,2,82.77,State Board,2024,91.64,State Board - Commerce,2026.0,2026,7.94,75.0,No,NPTEL DBMS,Not Yet,2,Not Placed
s67,Female,BCA,Information Technology,6,93.52,ICSE,2022,87.71,CBSE - Commerce,2024.0,2024,9.83,90.0,Yes,Python,Ongoing - Google,2,Not Placed
s68,Male,B.Tech,Mechanical,8,96.45,CBSE,2020,65.88,State Board - Science,2022.0,2023,7.95,77.0,No,Revit,Completed - Siemens,4,Placed - DRDO
s69,Male,B.Tech,Mechanical,8,83.27,CBSE,2021,91.19,State Board - Science,2023.0,2023,7.65,83.0,Yes (Cleared),STAAD Pro,Completed - Ashok Leyland,1,Placed - Accenture
s70,Female,B.Tech,Mechanical,8,88.6,ICSE,2020,81.29,ISC - Science,2022.0,2023,8.25,73.0,Yes,STAAD Pro,Completed - ISRO,5,Not Placed
s71,Female,B.Tech,Mechanical,2,71.7,State Board,2023,87.34,CBSE - Science,2025.0,2026,9.07,88.0,No,No Certification,Not Yet,3,Not Placed
s72,Female,B.Tech,Mechanical,8,69.0,ICSE,2021,83.4,CHSE Odisha - Science,2023.0,2023,7.6,89.0,No,ETABS,Completed - Ashok Leyland,2,Placed - IBM
s73,Female,B.Tech,EEE,4,88.12,ICSE,2023,91.29,CHSE Odisha - Science,2025.0,2025,7.66,70.0,Yes (Cleared),ETABS,Completed - Cognizant,1,Not Placed
s74,Male,B.Tech,Civil,1,97.81,CBSE,2023,87.58,State Board - Science,2025.0,2026,7.2,94.0,Yes,No Certification,Not Yet,1,Not Placed
s75,Female,B.Tech,Mechanical,4,93.01,CBSE,2022,89.36,ISC - Science,2024.0,2025,8.82,77.0,No,STAAD Pro,Not Yet,3,Not Placed
s76,Male,B.Tech,EEE,5,77.97,CBSE,2021,66.91,ISC - Science,2023.0,2024,7.46,88.0,No,PLC & SCADA,Completed - DRDO,3,Not Placed
s77,Male,B.Tech,CSE,1,65.07,CBSE,2023,84.25,CHSE Odisha - Science,2025.0,2026,6.78,88.0,Yes (Cleared),SQL,Not Yet,2,Not Placed
s78,Female,B.Tech,CSE,4,63.42,CBSE,2023,78.58,CHSE Odisha - Science,2025.0,2025,7.86,86.0,No,Cisco CCNA,Completed - DRDO,1,Not Placed
s79,Female,B.Tech,EEE,2,56.2,State Board,2024,85.97,ISC - Science,2026.0,2026,6.23,89.0,No,No Certification,Not Yet,0,Not Placed
s80,Female,B.Tech,ECE,2,82.93,State Board,2024,75.35,CBSE - Science,2026.0,2026,6.87,83.0,No,No Certification,Not Yet,0,Not Placed
s81,Male,MCA,Data Science,4,74.71,CBSE,2019,90.89,State Board - Science,2021.0,2025,8.66,81.0,Yes,NPTEL DBMS,Ongoing - Infosys,5,Not Placed
s82,Female,B.Tech,EEE,1,73.28,State Board,2024,79.43,ISC - Science,2026.0,2026,6.84,81.0,No,AutoCAD,Not Yet,2,Not Placed
s83,Male,M.Tech,Robotics,1,57.26,State Board,2020,69.26,CHSE Odisha - Science,2022.0,2026,8.46,91.0,No,No Certification,Not Yet,1,Not Placed
s84,Female,MCA,Data Science,4,91.51,State Board,2020,68.2,State Board - Science,2022.0,2025,7.09,78.0,Yes,Cisco CCNA,Ongoing - TCS,1,Not Placed
s85,Male,B.Sc,Physics,6,73.62,ICSE,2022,64.88,CBSE - Science,2024.0,2024,7.25,87.0,Yes (Cleared),Python,Completed - Amazon,2,Placed - Adobe
s86,Male,M.Tech,Environmental Engineering,1,76.93,CBSE,2020,77.26,CBSE - Science,2022.0,2026,7.04,78.0,Yes (Cleared),MATLAB & Simulink,Not Yet,1,Not Placed
s87,Male,B.Tech,IT,1,68.48,State Board,2023,62.05,State Board - Science,2025.0,2026,8.77,95.0,No,No Certification,Not Yet,3,Not Placed
s88,Female,B.Tech,EEE,8,94.4,CBSE,2021,76.35,CBSE - Science,2023.0,2023,7.9,84.0,No,MATLAB & Simulink,Completed - Siemens,3,Placed - Infosys
s89,Female,B.Sc,Mathematics,2,72.26,CBSE,2023,65.05,State Board - Science,2025.0,2026,8.05,96.0,Yes (Cleared),NPTEL DBMS,Not Yet,3,Not Placed
s90,Female,B.Tech,CSE,2,82.58,CBSE,2024,77.2,State Board - Science,2026.0,2026,8.97,96.0,No,Java,Not Yet,3,Not Placed
s91,Female,B.Tech,EEE,1,54.2,CBSE,2024,77.44,CHSE Odisha - Science,2026.0,2026,7.91,89.0,No,MATLAB & Simulink,Not Yet,1,Not Placed
s92,Female,BCA,Data Analytics,6,94.73,State Board,2021,78.88,State Board - Science,2023.0,2024,9.87,94.0,Yes,AWS,Completed - Intel,4,Placed - Cognizant
s93,Female,B.Tech,IT,1,92.94,CBSE,2023,90.2,ISC - Science,2025.0,2026,8.89,94.0,No,Python,Not Yet,4,Not Placed
s94,Female,B.Tech,CSE,8,94.19,State Board,2021,60.23,CBSE - Science,2023.0,2023,7.9,82.0,No,No Certification,Not Yet,1,Not Placed
s95,Female,B.Tech,Mechanical,1,77.8,State Board,2023,89.43,State Board - Science,2025.0,2026,8.13,75.0,No,SolidWorks,Not Yet,3,Not Placed
s96,Male,B.Tech,EEE,3,81.63,ICSE,2023,76.38,State Board - Science,2025.0,2025,8.97,99.0,No,ETABS,Ongoing - L&T,3,Not Placed
s97,Female,B.Tech,ECE,8,80.05,CBSE,2021,79.69,State Board - Science,2023.0,2023,8.25,88.0,No,No Certification,Not Yet,1,Not Placed
s98,Female,B.Tech,IT,3,94.76,State Board,2023,83.29,ISC - Science,2025.0,2025,8.28,72.0,No,Azure,Not Yet,2,Not Placed
s99,Female,B.Tech,ECE,8,96.82,ICSE,2021,89.42,ISC - Science,2023.0,2023,9.38,95.0,No,Java,Completed - Amazon,2,Placed - Goldman Sachs
s100,Female,Diploma,Diploma Civil,6,74.23,State Board,2024,,Diploma (Lateral Entry),,2024,7.1,90.0,Yes,MATLAB & Simulink,Completed - Cognizant,1,Not Placed
s101,Male,B.Tech,Civil,2,74.93,State Board,2024,74.66,ISC - Science,2026.0,2026,7.5,78.0,No,AutoCAD,Not Yet,1,Not Placed
s102,Male,B.Tech,IT,4,61.11,ICSE,2023,93.62,State Board - Science,2025.0,2025,7.04,89.0,No,Azure,Completed - ISRO,2,Not Placed
s103,Female,Diploma,Diploma Electrical,6,76.53,State Board,2024,,Diploma (Lateral Entry),,2024,7.93,81.0,Yes,Revit,Completed - Siemens,2,Not Placed
s104,Male,B.Tech,CSE,2,83.58,CBSE,2024,82.3,ISC - Science,2026.0,2026,7.57,69.0,No,No Certification,Not Yet,1,Not Placed
s105,Female,B.Tech,CSE,6,86.5,CBSE,2021,82.26,CBSE - Science,2023.0,2024,8.7,89.0,No,Azure,Not Yet,4,Not Placed
s106,Male,B.Tech,Mechanical,8,77.36,CBSE,2021,61.0,State Board - Science,2023.0,2023,8.36,77.0,No,No Certification,Completed - L&T,1,Not Placed
s107,Male,B.Tech,IT,2,70.11,ICSE,2024,81.34,State Board - Science,2026.0,2026,8.32,87.0,Yes (Cleared),No Certification,Not Yet,1,Not Placed
s108,Male,B.Tech,Civil,2,81.73,State Board,2023,83.89,State Board - Science,2025.0,2026,7.11,65.0,Yes,ANSYS,Not Yet,2,Not Placed
s109,Female,B.Tech,Civil,8,80.34,State Board,2021,92.6,ISC - Science,2023.0,2023,8.13,89.0,No,ETABS,Completed - JSW Steel,2,Placed - TCS
s110,Male,B.Tech,IT,8,68.16,CBSE,2021,71.57,CHSE Odisha - Science,2023.0,2023,8.67,90.0,No,Cisco CCNA,Completed - Amazon,2,Placed - TCS
s111,Male,B.Tech,Civil,1,96.69,ICSE,2024,94.36,ISC - Science,2026.0,2026,8.81,68.0,Yes,No Certification,Not Yet,2,Not Placed
s112,Female,B.Tech,Civil,2,89.33,ICSE,2024,77.87,CHSE Odisha - Science,2026.0,2026,8.31,82.0,No,MATLAB & Simulink,Not Yet,1,Not Placed
s113,Male,B.Tech,CSE,8,84.43,CBSE,2020,76.96,State Board - Science,2022.0,2023,8.13,82.0,No,Python,Completed - Cognizant,4,Placed - Tech Mahindra
s114,Male,BCA,Information Technology,6,87.29,State Board,2021,91.41,State Board - Science,2023.0,2024,7.02,74.0,Yes,Python,Not Yet,2,Not Placed
s115,Male,BCA,Data Analytics,1,88.93,CBSE,2024,61.19,CHSE Odisha - Science,2026.0,2026,7.42,77.0,No,No Certification,Not Yet,1,Not Placed
s116,Male,B.Tech,EEE,2,71.51,CBSE,2023,85.14,CBSE - Science,2025.0,2026,6.99,95.0,No,ETABS,Not Yet,2,Not Placed
s117,Female,B.Sc,Mathematics,4,95.19,State Board,2022,81.88,ISC - Science,2024.0,2025,7.04,56.0,Yes,No Certification,Completed - Infosys,2,Not Placed
s118,Female,B.Tech,IT,8,91.84,ICSE,2021,71.85,ISC - Science,2023.0,2023,8.32,78.0,No,No Certification,Completed - IBM,1,Not Placed
s119,Female,B.Sc,Data Science,6,94.49,ICSE,2021,90.16,CHSE Odisha - Commerce,2023.0,2024,6.32,59.0,Yes (Cleared),No Certification,Ongoing - IBM,2,Not Placed
s120,Male,M.Tech,Power Systems,2,92.34,ICSE,2020,72.82,ISC - Science,2022.0,2026,8.73,97.0,No,Revit,Not Yet,3,Not Placed
s121,Female,M.Tech,Environmental Engineering,4,80.99,ICSE,2018,76.61,CHSE Odisha - Science,2020.0,2025,8.88,73.0,Yes,AutoCAD,Not Yet,4,Not Placed
s122,Male,B.Tech,EEE,8,81.17,State Board,2020,78.39,State Board - Science,2022.0,2023,8.89,76.0,No,MATLAB & Simulink,Completed - DRDO,5,Placed - BHEL
s123,Male,BCA,Computer Applications,4,72.9,CBSE,2023,86.97,CBSE - Science,2025.0,2025,6.43,76.0,No,No Certification,Completed - Cisco,1,Not Placed
s124,Male,B.Tech,Mechanical,3,87.76,ICSE,2023,67.38,CBSE - Science,2025.0,2025,6.63,74.0,No,No Certification,Not Yet,0,Not Placed
s125,Male,B.Tech,ECE,4,71.74,State Board,2023,75.23,CBSE - Science,2025.0,2025,6.27,61.0,Yes,NPTEL DBMS,Not Yet,1,Not Placed
s126,Male,B.Tech,Civil,8,71.89,CBSE,2021,74.78,ISC - Science,2023.0,2023,8.84,84.0,No,STAAD Pro,Completed - Bosch,3,Placed - Accenture
s127,Female,B.Tech,Civil,8,75.85,State Board,2020,79.39,State Board - Science,2022.0,2023,7.81,69.0,Yes,Revit,Completed - Siemens,4,Not Placed
s128,Female,B.Tech,EEE,8,74.54,CBSE,2020,88.94,ISC - Science,2022.0,2023,7.94,70.0,Yes (Cleared),No Certification,Completed - Wipro,3,Not Placed
s129,Female,B.Sc,Data Science,2,79.52,CBSE,2024,70.25,ISC - Science,2026.0,2026,7.0,60.0,Yes,No Certification,Not Yet,0,Not Placed
s130,Female,BCA,Multimedia,3,71.47,ICSE,2023,88.97,State Board - Science,2025.0,2025,7.78,80.0,Yes (Cleared),Cisco CCNA,Completed - Wipro,3,Not Placed
s131,Male,B.Tech,Civil,8,70.01,State Board,2021,74.13,State Board - Science,2023.0,2023,7.59,82.0,No,No Certification,Completed - Tata Motors,2,Not Placed
s132,Male,Diploma,Diploma Civil,6,64.34,State Board,2024,,Diploma (Lateral Entry),,2024,7.54,98.0,Yes,ETABS,Completed - TCS,2,Not Placed
s133,Female,B.Tech,CSE,1,63.87,ICSE,2024,69.51,State Board - Science,2026.0,2026,6.94,77.0,No,Java,Not Yet,0,Not Placed
s134,Male,M.Tech,Robotics,4,80.18,CBSE,2019,77.72,ISC - Science,2021.0,2025,6.63,68.0,Yes,ML,Not Yet,1,Not Placed
s135,Male,BCA,Information Technology,1,70.71,CBSE,2023,94.12,CBSE - Science,2025.0,2026,9.29,88.0,No,Java,Not Yet,4,Not Placed
s136,Male,MCA,Cybersecurity,1,68.49,CBSE,2021,82.91,ISC - Science,2023.0,2026,7.44,76.0,Yes,No Certification,Not Yet,0,Not Placed
s137,Female,B.Tech,CSE,1,87.19,ICSE,2024,87.72,State Board - Science,2026.0,2026,8.12,87.0,No,AWS,Not Yet,2,Not Placed
s138,Female,BCA,Information Technology,1,74.16,State Board,2023,71.58,CBSE - Science,2025.0,2026,8.96,87.0,No,No Certification,Not Yet,3,Not Placed
s139,Male,B.Tech,Mechanical,3,77.06,State Board,2023,71.1,CBSE - Science,2025.0,2025,8.17,88.0,No,Revit,Completed - Tata Motors,2,Not Placed
s140,Male,BCA,Computer Applications,5,79.73,ICSE,2021,70.47,CHSE Odisha - Arts,2023.0,2024,7.4,62.0,Yes,No Certification,Not Yet,2,Not Placed
s141,Male,M.Tech,VLSI,4,80.2,CBSE,2018,80.53,CBSE - Science,2020.0,2025,7.85,83.0,Yes,Java,Completed - Cisco,5,Not Placed
s142,Male,B.Tech,CSE,5,73.44,ICSE,2022,82.22,State Board - Science,2024.0,2024,8.26,96.0,No,No Certification,Completed - Microsoft,2,Not Placed
s143,Male,B.Tech,ECE,8,93.77,CBSE,2021,87.45,ISC - Science,2023.0,2023,8.87,81.0,No,Cisco CCNA,Completed - TCS,3,Placed - IBM
s144,Female,M.Tech,Software Engineering,4,97.81,State Board,2019,61.4,State Board - Science,2021.0,2025,5.84,58.0,Yes,No Certification,Completed - Wipro,1,Not Placed
s145,Male,B.Tech,IT,1,83.05,ICSE,2024,85.29,CHSE Odisha - Science,2026.0,2026,8.39,82.0,No,ML,Not Yet,2,Not Placed
s146,Male,B.Tech,Civil,8,55.2,ICSE,2021,91.0,CHSE Odisha - Science,2023.0,2023,7.33,83.0,No,No Certification,Completed - ISRO,0,Placed - Deloitte
s147,Male,M.Tech,Structural Engineering,4,72.4,CBSE,2019,79.09,State Board - Science,2021.0,2025,7.35,72.0,Yes (Cleared),ANSYS,Completed - DRDO,2,Placed - Infosys
s148,Male,B.Tech,Mechanical,2,72.86,ICSE,2024,61.74,State Board - Science,2026.0,2026,6.76,79.0,No,SolidWorks,Not Yet,1,Not Placed
s149,Female,B.Tech,EEE,8,79.59,CBSE,2021,70.51,State Board - Science,2023.0,2023,7.92,82.0,No,AutoCAD,Completed - Cognizant,1,Placed - Accenture
s150,Male,B.Tech,Civil,3,77.41,State Board,2023,60.22,State Board - Science,2025.0,2025,7.86,81.0,No,AutoCAD,Completed - ONGC,2,Not Placed
s151,Male,B.Tech,ECE,8,93.21,ICSE,2020,66.65,ISC - Science,2022.0,2023,7.37,74.0,Yes,SQL,Completed - HCL,4,Not Placed
s152,Female,B.Tech,IT,6,74.52,State Board,2022,92.25,CBSE - Science,2024.0,2024,6.7,69.0,No,No Certification,Completed - IBM,1,Not Placed
s153,Female,MCA,Computer Applications,4,70.65,ICSE,2020,81.3,CHSE Odisha - Science,2022.0,2025,9.02,84.0,Yes,SQL,Completed - DRDO,2,Not Placed
s154,Male,B.Tech,CSE,2,96.63,ICSE,2024,83.03,ISC - Science,2026.0,2026,7.81,77.0,Yes,NPTEL DBMS,Not Yet,2,Not Placed
s155,Female,B.Sc,Physics,5,84.79,State Board,2021,87.62,ISC - Science,2023.0,2024,6.4,98.0,Yes (Cleared),SQL,Ongoing - DRDO,4,Placed - Deloitte
s156,Female,B.Tech,ECE,2,74.1,ICSE,2024,91.84,ISC - Science,2026.0,2026,9.21,100.0,No,ML,Not Yet,2,Not Placed
s157,Female,B.Sc,Mathematics,1,85.21,CBSE,2023,81.41,CBSE - Science,2025.0,2026,9.02,94.0,No,ML,Not Yet,3,Not Placed
s158,Male,B.Tech,IT,2,70.76,CBSE,2023,81.58,ISC - Science,2025.0,2026,7.34,64.0,Yes,No Certification,Not Yet,1,Not Placed
s159,Male,B.Tech,Mechanical,8,84.79,ICSE,2021,81.94,CHSE Odisha - Science,2023.0,2023,7.24,77.0,Yes (Cleared),STAAD Pro,Completed - Siemens,1,Placed - Accenture
s160,Male,B.Tech,ECE,2,97.4,State Board,2023,84.37,CBSE - Science,2025.0,2026,7.38,81.0,Yes,Java,Not Yet,2,Not Placed
s161,Male,MCA,Data Science,4,94.17,State Board,2020,80.87,ISC - Science,2022.0,2025,9.1,78.0,Yes,Cisco CCNA,Ongoing - Intel,3,Not Placed
s162,Female,BCA,Computer Applications,6,89.49,CBSE,2022,83.83,ISC - Commerce,2024.0,2024,8.57,72.0,Yes,AWS,Not Yet,3,Not Placed
